symbol,strategy,side,qty,price,timestamp,net_pnl,outcome
INFY,macd_crossover,SELL,3,1649.41,2025-09-09,-195.01,LOSS
TCS,macd_crossover,SELL,30,3145.41,2025-09-24,486.49,WIN
INFY,macd_crossover,SELL,58,1554.41,2025-10-01,-4659.51,LOSS
TCS,macd_crossover,SELL,28,3077.16,2025-10-13,-2335.29,LOSS
TCS,macd_crossover,SELL,28,3073.61,2025-10-16,-1454.1,LOSS
INFY,macd_crossover,SELL,55,1435.07,2025-10-29,-4486.93,LOSS
INFY,macd_crossover,SELL,53,1427.07,2025-11-21,-2912.25,LOSS
TCS,macd_crossover,SELL,1,2661.55,2025-11-24,-100.38,LOSS
TCS,macd_crossover,SELL,28,2636.41,2025-11-28,-2115.71,LOSS
RELIANCE,macd_crossover,SELL,1,4014.9,2025-12-03,179.28,WIN
TCS,macd_crossover,SELL,29,2787.0,2026-01-12,3511.72,WIN
INFY,macd_crossover,SELL,3,1317.83,2026-02-12,86.83,WIN
RELIANCE,macd_crossover,SELL,19,4248.5,2026-03-09,-9.78,LOSS
TCS,macd_crossover,SELL,30,2533.49,2026-04-07,-5126.1,LOSS
