date,open,high,low,close,volume,symbol,sma_20,sma_50,sma_200,ema_20,ema_50,ema_200,rsi_14,macd_line,macd_signal,macd_hist,vwap,vwap_upper_1,vwap_lower_1,vwap_upper_2,vwap_lower_2
2024-11-12,1612.3,1654.4,1595.97,1625.19,1027514,INFY,,,,,,,,,,,,,,,
2024-11-13,1642.16,1680.17,1599.61,1639.89,1509752,INFY,,,,,,,,,,,,,,,
2024-11-14,1626.61,1674.25,1623.3,1648.78,1198110,INFY,,,,,,,,,,,,,,,
2024-11-15,1640.31,1654.18,1621.12,1637.65,813425,INFY,,,,,,,,,,,,,,,
2024-11-18,1636.69,1664.36,1608.45,1636.4,1108940,INFY,,,,,,,,,,,,,,,
2024-11-19,1629.77,1669.09,1602.47,1635.78,1744947,INFY,,,,,,,,,,,,,,,
2024-11-20,1619.71,1642.5,1619.43,1630.97,299963,INFY,,,,,,,,,,,,,,,
2024-11-21,1654.58,1713.02,1642.37,1677.7,827338,INFY,,,,,,,,,,,,,,,
2024-11-22,1730.83,1749.13,1666.75,1707.94,841594,INFY,,,,,,,,,,,,,,,
2024-11-25,1727.39,1729.75,1689.96,1709.85,2226756,INFY,,,,,,,,,,,,,,,
2024-11-26,1698.53,1753.09,1694.77,1723.93,1442257,INFY,,,,,,,,,,,,,,,
2024-11-27,1678.09,1733.48,1667.87,1700.68,1763304,INFY,,,,,,,,,,,,,,,
2024-11-28,1733.06,1748.19,1676.05,1712.12,639661,INFY,,,,,,,,,,,,,,,
2024-11-29,1691.95,1706.27,1632.97,1669.62,1409674,INFY,,,,,,,,,,,,,,,
2024-12-02,1628.55,1636.8,1615.6,1626.2,1021766,INFY,,,,,,,57.8609,,,,,,,,
2024-12-03,1622.01,1662.32,1610.91,1636.62,601426,INFY,,,,,,,59.5978,,,,,,,,
2024-12-04,1660.16,1690.93,1659.66,1675.29,965783,INFY,,,,,,,65.3118,,,,,,,,
2024-12-05,1667.6,1673.79,1627.78,1650.79,1847112,INFY,,,,,,,59.564,,,,,,,,
2024-12-06,1634.96,1649.32,1575.3,1612.31,3776767,INFY,,,,,,,51.8464,,,,,,,,
2024-12-09,1626.6,1642.17,1586.75,1614.46,1677722,INFY,1658.6085,,,1651.4601,,,52.219,,,,1656.0576,1691.7412,1620.374,1727.4249,1584.6903
2024-12-10,1625.2,1628.55,1603.83,1616.19,1518627,INFY,1658.1585,,,1648.1011,,,52.5371,,,,1654.9993,1691.1797,1618.8189,1727.36,1582.6386
2024-12-11,1596.43,1616.17,1567.32,1591.75,692817,INFY,1655.7515,,,1642.7343,,,47.7043,,,,1654.2039,1693.1588,1615.249,1732.1137,1576.2941
2024-12-12,1576.14,1590.31,1570.69,1580.5,2021657,INFY,1652.3375,,,1636.8072,,,45.6238,,,,1648.9729,1691.4075,1606.5383,1733.8421,1564.1037
2024-12-13,1555.08,1563.12,1537.25,1550.19,2008601,INFY,1647.9645,,,1628.558,,,40.4991,,,,1642.3191,1690.4689,1594.1693,1738.6187,1546.0195
2024-12-16,1572.93,1574.71,1514.77,1544.74,1038944,INFY,1643.3815,,,1620.5753,,,39.637,,,,1638.9765,1692.3624,1585.5906,1745.7483,1532.2047
2024-12-17,1501.09,1550.4,1500.58,1525.49,3149649,INFY,1637.867,,,1611.5196,,,36.6678,-25.5265,,,1627.1576,1686.71,1567.6052,1746.2624,1508.0528
2024-12-18,1508.2,1518.1,1500.05,1509.07,2045130,INFY,1631.772,,,1601.7625,,,34.3071,-30.3117,,,1619.4588,1685.6246,1553.293,1751.7905,1487.1271
2024-12-19,1540.7,1546.96,1494.8,1520.88,2114910,INFY,1623.931,,,1594.0594,,,37.4275,-32.7732,,,1611.6345,1681.2722,1541.9968,1750.9098,1472.3592
