date,close,signal,position,entry_price,exit_price,trade_reason
2024-11-12,1625.19,0,0,,,
2024-11-13,1625.19,0,0,,,
2024-11-14,1639.89,0,0,,,
2024-11-15,1648.78,0,0,,,
2024-11-18,1637.65,0,0,,,
2024-11-19,1636.4,0,0,,,
2024-11-20,1635.78,0,0,,,
2024-11-21,1630.97,0,0,,,
2024-11-22,1677.7,0,0,,,
2024-11-25,1707.94,0,0,,,
2024-11-26,1709.85,0,0,,,
2024-11-27,1723.93,0,0,,,
2024-11-28,1700.68,0,0,,,
2024-11-29,1712.12,0,0,,,
2024-12-02,1669.62,0,0,,,
2024-12-03,1626.2,0,0,,,
2024-12-04,1636.62,0,0,,,
2024-12-05,1675.29,0,0,,,
2024-12-06,1650.79,0,0,,,
2024-12-09,1612.31,0,0,,,
2024-12-10,1614.46,0,0,,,
2024-12-11,1616.19,0,0,,,
2024-12-12,1591.75,0,0,,,
2024-12-13,1580.5,0,0,,,
2024-12-16,1550.19,0,0,,,
2024-12-17,1544.74,0,0,,,
2024-12-18,1525.49,0,0,,,
2024-12-19,1509.07,0,0,,,
2024-12-20,1520.88,0,0,,,
2024-12-23,1515.06,0,0,,,
2024-12-24,1545.88,0,0,,,
2024-12-25,1587.3,0,0,,,
2024-12-26,1595.04,0,0,,,
2024-12-27,1606.23,0,0,,,
2024-12-30,1577.76,0,0,,,
2024-12-31,1592.31,0,0,,,
2025-01-01,1572.93,0,0,,,
2025-01-02,1575.81,0,0,,,
2025-01-03,1604.3,0,0,,,
2025-01-06,1604.44,0,0,,,
2025-01-07,1599.62,0,0,,,
2025-01-08,1618.97,0,0,,,
2025-01-09,1621.96,0,0,,,
2025-01-10,1624.81,0,0,,,
2025-01-13,1627.94,0,0,,,
2025-01-14,1642.43,0,0,,,
2025-01-15,1647.96,0,0,,,
2025-01-16,1688.55,0,0,,,
2025-01-17,1656.25,0,0,,,
2025-01-20,1619.56,0,0,,,
2025-01-21,1628.33,0,0,,,
2025-01-22,1586.75,0,0,,,
2025-01-23,1604.77,0,0,,,
2025-01-24,1627.7,0,0,,,
2025-01-27,1637.02,0,0,,,
2025-01-28,1645.52,0,0,,,
2025-01-29,1680.92,0,0,,,
2025-01-30,1693.21,0,0,,,
2025-01-31,1746.82,0,0,,,
2025-02-03,1780.42,0,0,,,
2025-02-04,1776.89,0,0,,,
2025-02-05,1764.48,0,0,,,
2025-02-06,1752.19,0,0,,,
2025-02-07,1776.44,0,0,,,
2025-02-10,1774.91,0,0,,,
2025-02-11,1759.39,0,0,,,
2025-02-12,1750.54,0,0,,,
2025-02-13,1765.92,0,0,,,
2025-02-14,1790.35,0,0,,,
2025-02-17,1769.96,0,0,,,
2025-02-18,1780.54,0,0,,,
2025-02-19,1707.95,0,0,,,
2025-02-20,1722.22,0,0,,,
2025-02-21,1721.91,0,0,,,
2025-02-24,1735.15,0,0,,,
2025-02-25,1738.4,0,0,,,
2025-02-26,1744.91,0,0,,,
2025-02-27,1706.37,0,0,,,
2025-02-28,1719.37,0,0,,,
2025-03-03,1709.68,0,0,,,
2025-03-04,1725.92,0,0,,,
2025-03-05,1735.71,0,0,,,
2025-03-06,1734.02,0,0,,,
2025-03-07,1681.21,0,0,,,
2025-03-10,1728.27,0,0,,,
2025-03-11,1737.29,0,0,,,
2025-03-12,1771.95,0,0,,,
2025-03-13,1685.05,0,0,,,
2025-03-14,1662.98,0,0,,,
2025-03-17,1704.36,0,0,,,
2025-03-18,1721.26,0,0,,,
2025-03-19,1756.74,0,0,,,
2025-03-20,1761.27,0,0,,,
2025-03-21,1782.45,0,0,,,
2025-03-24,1757.45,0,0,,,
2025-03-25,1776.24,0,0,,,
2025-03-26,1772.48,0,0,,,
2025-03-27,1789.37,0,0,,,
2025-03-28,1753.39,0,0,,,
2025-03-31,1712.6,0,0,,,
2025-04-01,1670.7,0,0,,,
2025-04-02,1654.97,0,0,,,
2025-04-03,1617.06,0,0,,,
2025-04-04,1593.22,0,0,,,
2025-04-07,1575.94,0,0,,,
2025-04-08,1545.88,0,0,,,
2025-04-09,1547.28,0,0,,,
2025-04-10,1565.78,0,0,,,
2025-04-11,1561.75,0,0,,,
2025-04-14,1541.75,0,0,,,
2025-04-15,1542.09,0,0,,,
2025-04-16,1529.57,0,0,,,
2025-04-17,1471.55,0,0,,,
2025-04-18,1489.23,0,0,,,
2025-04-21,1505.06,0,0,,,
2025-04-22,1523.25,0,0,,,
2025-04-23,1591.53,0,0,,,
2025-04-24,1592.99,0,0,,,
2025-04-25,1580.11,0,0,,,
2025-04-28,1571.12,0,0,,,
2025-04-29,1577.3,0,0,,,
2025-04-30,1574.18,0,0,,,
2025-05-01,1593.6,0,0,,,
2025-05-02,1596.14,0,0,,,
2025-05-05,1588.29,0,0,,,
2025-05-06,1618.98,0,0,,,
2025-05-07,1630.12,0,0,,,
2025-05-08,1586.59,0,0,,,
2025-05-09,1590.23,0,0,,,
2025-05-12,1562.32,0,0,,,
2025-05-13,1590.65,0,0,,,
2025-05-14,1569.69,0,0,,,
2025-05-15,1607.21,0,0,,,
2025-05-16,1599.28,0,0,,,
2025-05-19,1583.61,0,0,,,
2025-05-20,1582.9,0,0,,,
2025-05-21,1629.83,0,0,,,
2025-05-22,1624.0,0,0,,,
2025-05-23,1619.27,0,0,,,
2025-05-26,1636.85,0,0,,,
2025-05-27,1641.31,0,0,,,
2025-05-28,1668.12,0,0,,,
2025-05-29,1688.71,0,0,,,
2025-05-30,1689.29,0,0,,,
2025-06-02,1682.44,0,0,,,
2025-06-03,1694.92,0,0,,,
2025-06-04,1707.0,0,0,,,
2025-06-05,1736.14,0,0,,,
2025-06-06,1739.29,0,0,,,
2025-06-09,1736.01,0,0,,,
2025-06-10,1727.31,0,0,,,
2025-06-11,1728.49,0,0,,,
2025-06-12,1708.24,0,0,,,
2025-06-13,1677.32,0,0,,,
2025-06-16,1693.6,0,0,,,
2025-06-17,1688.52,0,0,,,
2025-06-18,1686.87,0,0,,,
2025-06-19,1681.4,0,0,,,
2025-06-20,1699.42,0,0,,,
2025-06-23,1726.02,0,0,,,
2025-06-24,1688.78,0,0,,,
2025-06-25,1667.12,0,0,,,
2025-06-26,1676.11,0,0,,,
2025-06-27,1707.22,0,0,,,
2025-06-30,1703.66,0,0,,,
2025-07-01,1678.96,0,0,,,
2025-07-02,1682.94,0,0,,,
2025-07-03,1696.78,0,0,,,
2025-07-04,1686.98,0,0,,,
2025-07-07,1668.6,0,0,,,
2025-07-08,1690.71,0,0,,,
2025-07-09,1691.74,0,0,,,
2025-07-10,1721.34,0,0,,,
2025-07-11,1790.04,0,0,,,
2025-07-14,1840.65,0,0,,,
2025-07-15,1844.69,0,0,,,
2025-07-16,1870.31,0,0,,,
2025-07-17,1876.3,0,0,,,
2025-07-18,1870.86,0,0,,,
2025-07-21,1887.99,0,0,,,
2025-07-22,1894.85,0,0,,,
2025-07-23,1891.34,0,0,,,
2025-07-24,1878.23,0,0,,,
2025-07-25,1895.87,0,0,,,
2025-07-28,1833.9,0,0,,,
2025-07-29,1842.9,0,0,,,
2025-07-30,1806.39,0,0,,,
2025-07-31,1809.0,0,0,,,
2025-08-01,1804.29,0,0,,,
2025-08-04,1782.07,0,0,,,
2025-08-05,1794.23,0,0,,,
2025-08-06,1781.8,0,0,,,
2025-08-07,1780.91,0,0,,,
2025-08-08,1796.69,0,0,,,
2025-08-11,1765.47,1,1,1765.47,,BUY | close=1765.47 < vwap_lower_1=1797.17 & RSI=43.9<45.0 & close>sma_50
2025-08-12,1757.75,0,1,,,
2025-08-13,1773.7,0,1,,,
2025-08-14,1748.96,0,1,,,
2025-08-15,1702.23,-1,-1,,1702.23,SELL | STOP: close=1702.23 < vwap_lower_2=1704.58
2025-08-18,1684.83,0,-1,,,
2025-08-19,1662.14,0,-1,,,
2025-08-20,1698.54,0,-1,,,
2025-08-21,1707.12,0,-1,,,
2025-08-22,1697.17,0,-1,,,
2025-08-25,1698.3,0,-1,,,
2025-08-26,1715.02,0,-1,,,
2025-08-27,1759.82,0,-1,,,
2025-08-28,1714.45,0,-1,,,
2025-08-29,1693.43,0,-1,,,
2025-09-01,1670.15,0,-1,,,
2025-09-02,1663.05,0,-1,,,
2025-09-03,1672.4,0,-1,,,
2025-09-04,1694.61,0,-1,,,
2025-09-05,1713.92,0,-1,,,
2025-09-08,1683.45,0,-1,,,
2025-09-09,1649.41,0,-1,,,
2025-09-10,1603.57,0,-1,,,
2025-09-11,1604.79,0,-1,,,
2025-09-12,1625.67,0,-1,,,
2025-09-15,1610.56,0,-1,,,
2025-09-16,1596.32,0,-1,,,
2025-09-17,1652.24,0,-1,,,
2025-09-18,1638.53,0,-1,,,
2025-09-19,1600.55,0,-1,,,
2025-09-22,1583.9,0,-1,,,
2025-09-23,1601.07,0,-1,,,
2025-09-24,1634.28,0,-1,,,
2025-09-25,1628.31,0,-1,,,
2025-09-26,1642.84,0,-1,,,
2025-09-29,1628.79,0,-1,,,
2025-09-30,1568.46,0,-1,,,
2025-10-01,1554.41,0,-1,,,
2025-10-02,1519.87,0,-1,,,
2025-10-03,1533.64,0,-1,,,
2025-10-06,1493.75,0,-1,,,
2025-10-07,1484.38,0,-1,,,
2025-10-08,1458.95,0,-1,,,
2025-10-09,1454.07,0,-1,,,
2025-10-10,1475.85,0,-1,,,
2025-10-13,1468.34,0,-1,,,
2025-10-14,1505.04,0,-1,,,
2025-10-15,1498.15,0,-1,,,
2025-10-16,1516.22,0,-1,,,
2025-10-17,1552.99,0,-1,,,
2025-10-20,1546.81,0,-1,,,
2025-10-21,1521.59,0,-1,,,
2025-10-22,1494.23,0,-1,,,
2025-10-23,1487.4,0,-1,,,
2025-10-24,1468.32,0,-1,,,
2025-10-27,1472.67,0,-1,,,
2025-10-28,1472.49,0,-1,,,
2025-10-29,1435.07,0,-1,,,
2025-10-30,1425.44,0,-1,,,
2025-10-31,1456.81,0,-1,,,
2025-11-03,1481.59,0,-1,,,
2025-11-04,1482.93,0,-1,,,
2025-11-05,1544.67,0,-1,,,
2025-11-06,1519.89,0,-1,,,
2025-11-07,1507.98,0,-1,,,
2025-11-10,1495.68,0,-1,,,
2025-11-11,1485.96,0,-1,,,
2025-11-12,1511.13,0,-1,,,
2025-11-13,1506.43,0,-1,,,
2025-11-14,1479.29,0,-1,,,
2025-11-17,1516.04,0,-1,,,
2025-11-18,1496.2,0,-1,,,
2025-11-19,1500.76,0,-1,,,
2025-11-20,1471.55,0,-1,,,
2025-11-21,1427.07,0,-1,,,
2025-11-24,1435.14,0,-1,,,
2025-11-25,1432.03,0,-1,,,
2025-11-26,1420.54,0,-1,,,
2025-11-27,1401.47,0,-1,,,
2025-11-28,1412.96,0,-1,,,
2025-12-01,1435.35,0,-1,,,
2025-12-02,1397.51,0,-1,,,
2025-12-03,1400.48,0,-1,,,
2025-12-04,1382.52,0,-1,,,
2025-12-05,1372.33,0,-1,,,
2025-12-08,1334.37,0,-1,,,
2025-12-09,1326.71,0,-1,,,
2025-12-10,1319.4,0,-1,,,
2025-12-11,1306.46,0,-1,,,
2025-12-12,1316.59,0,-1,,,
2025-12-15,1268.68,0,-1,,,
2025-12-16,1267.01,0,-1,,,
