date,close,signal,position,entry_price,exit_price,trade_reason
2024-11-12,2838.97,0,0,,,
2024-11-13,2838.97,0,0,,,
2024-11-14,2815.62,0,0,,,
2024-11-15,2814.36,0,0,,,
2024-11-18,2912.72,0,0,,,
2024-11-19,2926.92,0,0,,,
2024-11-20,2927.56,0,0,,,
2024-11-21,2925.17,0,0,,,
2024-11-22,2995.75,0,0,,,
2024-11-25,2951.71,0,0,,,
2024-11-26,3015.19,0,0,,,
2024-11-27,3011.88,0,0,,,
2024-11-28,3037.52,0,0,,,
2024-11-29,3041.85,0,0,,,
2024-12-02,3007.66,0,0,,,
2024-12-03,3064.76,0,0,,,
2024-12-04,3021.48,0,0,,,
2024-12-05,3016.39,0,0,,,
2024-12-06,2950.56,0,0,,,
2024-12-09,2935.17,0,0,,,
2024-12-10,2912.53,0,0,,,
2024-12-11,2944.33,0,0,,,
2024-12-12,2897.4,0,0,,,
2024-12-13,2999.78,0,0,,,
2024-12-16,3015.61,0,0,,,
2024-12-17,3077.81,0,0,,,
2024-12-18,3109.85,0,0,,,
2024-12-19,3127.65,0,0,,,
2024-12-20,3099.98,0,0,,,
2024-12-23,3158.72,0,0,,,
2024-12-24,3153.12,0,0,,,
2024-12-25,3176.47,0,0,,,
2024-12-26,3201.1,0,0,,,
2024-12-27,3238.7,0,0,,,
2024-12-30,3175.42,0,0,,,
2024-12-31,3158.25,0,0,,,
2025-01-01,3131.89,0,0,,,
2025-01-02,3199.4,0,0,,,
2025-01-03,3194.47,0,0,,,
2025-01-06,3141.97,0,0,,,
2025-01-07,3113.99,0,0,,,
2025-01-08,3123.03,0,0,,,
2025-01-09,3174.14,0,0,,,
2025-01-10,3244.27,0,0,,,
2025-01-13,3285.14,0,0,,,
2025-01-14,3319.84,0,0,,,
2025-01-15,3353.57,0,0,,,
2025-01-16,3384.35,0,0,,,
2025-01-17,3392.53,0,0,,,
2025-01-20,3414.66,0,0,,,
2025-01-21,3362.39,0,0,,,
2025-01-22,3388.25,0,0,,,
2025-01-23,3453.97,0,0,,,
2025-01-24,3510.54,0,0,,,
2025-01-27,3462.83,0,0,,,
2025-01-28,3466.63,0,0,,,
2025-01-29,3367.69,0,0,,,
2025-01-30,3412.12,0,0,,,
2025-01-31,3334.95,0,0,,,
2025-02-03,3281.94,0,0,,,
2025-02-04,3249.34,0,0,,,
2025-02-05,3259.17,0,0,,,
2025-02-06,3265.0,0,0,,,
2025-02-07,3347.57,0,0,,,
2025-02-10,3323.02,0,0,,,
2025-02-11,3273.61,0,0,,,
2025-02-12,3273.66,0,0,,,
2025-02-13,3385.16,0,0,,,
2025-02-14,3485.25,0,0,,,
2025-02-17,3486.85,0,0,,,
2025-02-18,3571.15,0,0,,,
2025-02-19,3566.85,0,0,,,
2025-02-20,3563.15,0,0,,,
2025-02-21,3522.86,0,0,,,
2025-02-24,3510.85,0,0,,,
2025-02-25,3490.15,0,0,,,
2025-02-26,3522.45,0,0,,,
2025-02-27,3577.08,0,0,,,
2025-02-28,3569.48,0,0,,,
2025-03-03,3570.1,0,0,,,
2025-03-04,3544.2,0,0,,,
2025-03-05,3474.0,0,0,,,
2025-03-06,3550.12,0,0,,,
2025-03-07,3585.02,0,0,,,
2025-03-10,3594.41,0,0,,,
2025-03-11,3566.08,0,0,,,
2025-03-12,3535.75,0,0,,,
2025-03-13,3535.02,0,0,,,
2025-03-14,3498.26,0,0,,,
2025-03-17,3463.93,0,0,,,
2025-03-18,3564.44,0,0,,,
2025-03-19,3598.77,0,0,,,
2025-03-20,3585.74,0,0,,,
2025-03-21,3584.96,0,0,,,
2025-03-24,3549.95,0,0,,,
2025-03-25,3640.59,0,0,,,
2025-03-26,3560.05,0,0,,,
2025-03-27,3633.71,0,0,,,
2025-03-28,3661.72,0,0,,,
2025-03-31,3676.9,0,0,,,
2025-04-01,3641.63,0,0,,,
2025-04-02,3641.27,0,0,,,
2025-04-03,3639.09,0,0,,,
2025-04-04,3631.97,0,0,,,
2025-04-07,3660.92,0,0,,,
2025-04-08,3562.52,0,0,,,
2025-04-09,3491.47,0,0,,,
2025-04-10,3476.91,0,0,,,
2025-04-11,3505.1,0,0,,,
2025-04-14,3488.89,0,0,,,
2025-04-15,3519.65,0,0,,,
2025-04-16,3575.86,0,0,,,
2025-04-17,3622.4,0,0,,,
2025-04-18,3676.97,0,0,,,
2025-04-21,3745.44,0,0,,,
2025-04-22,3748.36,0,0,,,
2025-04-23,3656.55,0,0,,,
2025-04-24,3663.86,0,0,,,
2025-04-25,3691.65,0,0,,,
2025-04-28,3699.21,0,0,,,
2025-04-29,3739.35,0,0,,,
2025-04-30,3705.9,0,0,,,
2025-05-01,3814.36,0,0,,,
2025-05-02,3781.59,0,0,,,
2025-05-05,3662.09,0,0,,,
2025-05-06,3623.04,0,0,,,
2025-05-07,3585.52,0,0,,,
2025-05-08,3556.97,0,0,,,
2025-05-09,3666.36,0,0,,,
2025-05-12,3630.13,0,0,,,
2025-05-13,3604.49,0,0,,,
2025-05-14,3567.54,0,0,,,
2025-05-15,3656.14,0,0,,,
2025-05-16,3743.13,0,0,,,
2025-05-19,3755.8,0,0,,,
2025-05-20,3747.92,0,0,,,
2025-05-21,3657.74,0,0,,,
2025-05-22,3665.87,0,0,,,
2025-05-23,3823.64,0,0,,,
2025-05-26,3877.87,0,0,,,
2025-05-27,3809.06,0,0,,,
2025-05-28,3695.84,0,0,,,
2025-05-29,3644.3,0,0,,,
2025-05-30,3586.92,0,0,,,
2025-06-02,3566.22,0,0,,,
2025-06-03,3558.82,0,0,,,
2025-06-04,3566.6,0,0,,,
2025-06-05,3663.37,0,0,,,
2025-06-06,3597.65,0,0,,,
2025-06-09,3604.34,0,0,,,
2025-06-10,3538.55,0,0,,,
2025-06-11,3429.36,0,0,,,
2025-06-12,3482.06,0,0,,,
2025-06-13,3409.24,0,0,,,
2025-06-16,3463.35,0,0,,,
2025-06-17,3479.56,0,0,,,
2025-06-18,3592.26,0,0,,,
2025-06-19,3538.77,0,0,,,
2025-06-20,3581.56,0,0,,,
2025-06-23,3592.59,0,0,,,
2025-06-24,3496.53,0,0,,,
2025-06-25,3432.89,0,0,,,
2025-06-26,3368.76,0,0,,,
2025-06-27,3329.76,0,0,,,
2025-06-30,3347.9,0,0,,,
2025-07-01,3295.27,0,0,,,
2025-07-02,3344.43,0,0,,,
2025-07-03,3423.04,0,0,,,
