date,open,high,low,close,volume,symbol,sma_20,sma_50,sma_200,ema_20,ema_50,ema_200,rsi_14,macd_line,macd_signal,macd_hist,vwap,vwap_upper_1,vwap_lower_1,vwap_upper_2,vwap_lower_2
2024-11-12,3877.13,3899.19,3854.87,3877.03,1233902,TCS,,,,,,,,,,,,,,,
2024-11-13,3939.1,3963.2,3786.56,3874.88,1386284,TCS,,,,,,,,,,,,,,,
2024-11-14,3896.56,3987.27,3875.45,3931.36,876664,TCS,,,,,,,,,,,,,,,
2024-11-15,3902.89,3974.25,3857.67,3915.96,1810529,TCS,,,,,,,,,,,,,,,
2024-11-18,4024.34,4095.9,3932.27,4014.09,1466015,TCS,,,,,,,,,,,,,,,
2024-11-19,3917.08,4072.88,3901.42,3987.15,1798224,TCS,,,,,,,,,,,,,,,
2024-11-20,3983.09,4034.99,3971.15,4003.07,1074895,TCS,,,,,,,,,,,,,,,
2024-11-21,3956.32,4013.39,3824.93,3919.16,1453904,TCS,,,,,,,,,,,,,,,
2024-11-22,3968.93,3983.67,3869.73,3926.7,2176485,TCS,,,,,,,,,,,,,,,
2024-11-25,3895.57,3933.7,3868.95,3901.32,768273,TCS,,,,,,,,,,,,,,,
2024-11-26,3965.04,3988.56,3851.61,3920.08,1132093,TCS,,,,,,,,,,,,,,,
2024-11-27,3831.26,3896.71,3782.98,3839.84,711778,TCS,,,,,,,,,,,,,,,
2024-11-28,3748.58,3799.05,3739.24,3769.15,3125682,TCS,,,,,,,,,,,,,,,
2024-11-29,3751.96,3773.41,3665.62,3719.52,1979604,TCS,,,,,,,,,,,,,,,
2024-12-02,3662.94,3807.91,3622.8,3715.36,1087169,TCS,,,,,,,26.1835,,,,,,,,
2024-12-03,3865.75,3886.81,3744.12,3815.47,491543,TCS,,,,,,,42.7489,,,,,,,,
2024-12-04,3821.79,3963.86,3805.0,3884.43,1112191,TCS,,,,,,,50.9197,,,,,,,,
2024-12-05,3889.86,4070.8,3888.86,3979.83,786619,TCS,,,,,,,59.5256,,,,,,,,
2024-12-06,4068.78,4081.59,3999.68,4040.63,1772059,TCS,,,,,,,63.8732,,,,,,,,
2024-12-09,4035.38,4193.62,4029.06,4111.34,867990,TCS,3907.3185,,,3909.5112,,,68.1572,,,,3898.6881,4001.198,3796.1782,4103.7079,3693.6683
2024-12-10,3987.01,4071.44,3976.21,4023.82,1263567,TCS,3914.658,,,3920.3977,,,58.8545,,,,3905.4983,4010.9387,3800.0579,4116.3791,3694.6175
2024-12-11,3991.77,4042.47,3958.86,4000.67,664719,TCS,3920.9475,,,3928.0427,,,56.6519,,,,3909.4993,4016.1863,3802.8123,4122.8732,3696.1254
2024-12-12,4023.4,4066.73,3945.43,4006.08,633462,TCS,3924.6835,,,3935.4748,,,57.0563,,,,3911.1044,4019.4703,3802.7385,4127.8361,3694.3727
2024-12-13,3908.97,3916.66,3864.73,3890.7,468309,TCS,3923.4205,,,3931.2106,,,46.9867,,,,3910.3656,4018.9854,3801.7458,4127.6053,3693.1259
2024-12-16,3843.64,3914.53,3787.43,3850.98,1484850,TCS,3915.265,,,3923.5696,,,44.1012,,,,3900.6995,4008.2718,3793.1272,4115.844,3685.555
2024-12-17,3919.29,3948.61,3868.22,3908.41,1884140,TCS,3911.328,,,3922.1258,,,48.9799,12.2644,,,3895.0488,4001.2843,3788.8133,4107.5198,3682.5778
2024-12-18,3899.8,3921.55,3748.46,3835.01,1620290,TCS,3902.925,,,3913.829,,,43.727,3.8193,,,3886.6753,3991.9143,3781.4363,4097.1533,3676.1973
2024-12-19,3684.72,3723.15,3608.8,3665.97,907941,TCS,3890.2655,,,3890.2234,,,34.54,-16.3254,,,3876.7464,3994.4228,3759.07,4112.0992,3641.3936
2024-12-20,3592.19,3713.29,3561.12,3637.21,1368268,TCS,3875.791,,,3866.1269,,,33.2596,-34.2165,,,3858.6582,3988.765,3728.5514,4118.8718,3598.4446
2024-12-23,3615.47,3726.96,3554.49,3640.73,1958912,TCS,3862.7615,,,3844.6605,,,33.5841,-47.563,,,3840.504,3980.5859,3700.4221,4120.6677,3560.3403
2024-12-24,3587.15,3615.85,3569.67,3592.76,717499,TCS,3846.3955,,,3820.67,,,31.3473,-61.3043,,,3829.7499,3981.4236,3678.0762,4133.0973,3526.4025
2024-12-25,3527.51,3619.6,3487.41,3553.5,1175009,TCS,3832.0785,,,3795.2252,,,29.6091,-74.5035,,,3816.6723,3981.9052,3651.4394,4147.1381,3486.2065
2024-12-26,3678.87,3706.55,3542.23,3624.39,2615930,TCS,3824.8405,,,3778.9552,,,36.4602,-78.3406,,,3802.4146,3973.612,3631.2172,4144.8094,3460.0198
