date,open,high,low,close,volume,symbol
2024-12-23,1612.3,1654.4,1595.97,1625.19,1027514,INFY
2024-12-24,1642.16,1680.17,1599.61,1639.89,1509752,INFY
2024-12-25,1626.61,1674.25,1623.3,1648.78,1198110,INFY
2024-12-26,1640.31,1654.18,1621.12,1637.65,813425,INFY
2024-12-27,1636.69,1664.36,1608.45,1636.4,1108940,INFY
2024-12-30,1629.77,1669.09,1602.47,1635.78,1744947,INFY
2024-12-31,1619.71,1642.5,1619.43,1630.97,299963,INFY
2025-01-01,1654.58,1713.02,1642.37,1677.7,827338,INFY
2025-01-02,1730.83,1749.13,1666.75,1707.94,841594,INFY
2025-01-03,1727.39,1729.75,1689.96,1709.85,2226756,INFY
2025-01-06,1698.53,1753.09,1694.77,1723.93,1442257,INFY
2025-01-07,1678.09,1733.48,1667.87,1700.68,1763304,INFY
2025-01-08,1733.06,1748.19,1676.05,1712.12,639661,INFY
2025-01-09,1691.95,1706.27,1632.97,1669.62,1409674,INFY
2025-01-10,1628.55,1636.8,1615.6,1626.2,1021766,INFY
2025-01-13,1622.01,1662.32,1610.91,1636.62,601426,INFY
2025-01-14,1660.16,1690.93,1659.66,1675.29,965783,INFY
2025-01-15,1667.6,1673.79,1627.78,1650.79,1847112,INFY
2025-01-16,1634.96,1649.32,1575.3,1612.31,3776767,INFY
2025-01-17,1626.6,1642.17,1586.75,1614.46,1677722,INFY
2025-01-20,1625.2,1628.55,1603.83,1616.19,1518627,INFY
2025-01-21,1596.43,1616.17,1567.32,1591.75,692817,INFY
2025-01-22,1576.14,1590.31,1570.69,1580.5,2021657,INFY
2025-01-23,1555.08,1563.12,1537.25,1550.19,2008601,INFY
2025-01-24,1572.93,1574.71,1514.77,1544.74,1038944,INFY
2025-01-27,1501.09,1550.4,1500.58,1525.49,3149649,INFY
2025-01-28,1508.2,1518.1,1500.05,1509.07,2045130,INFY
2025-01-29,1540.7,1546.96,1494.8,1520.88,2114910,INFY
2025-01-30,1513.3,1531.72,1498.39,1515.06,378517,INFY
2025-01-31,1554.05,1558.52,1533.25,1545.88,2059233,INFY
2025-02-03,1586.04,1619.88,1554.73,1587.3,1408683,INFY
2025-02-04,1625.64,1632.97,1557.12,1595.04,1426751,INFY
2025-02-05,1594.15,1623.89,1588.56,1606.23,840428,INFY
2025-02-06,1556.39,1604.31,1551.2,1577.76,1528515,INFY
2025-02-07,1589.98,1601.4,1583.21,1592.31,1561492,INFY
2025-02-10,1585.72,1610.04,1535.83,1572.93,1434592,INFY
2025-02-11,1561.51,1608.42,1543.21,1575.81,2399457,INFY
2025-02-12,1589.55,1641.84,1566.76,1604.3,1213052,INFY
2025-02-13,1594.74,1640.64,1568.23,1604.44,2433142,INFY
2025-02-14,1589.46,1611.76,1587.48,1599.62,867755,INFY
2025-02-17,1612.81,1649.97,1587.96,1618.97,1539642,INFY
2025-02-18,1613.86,1650.31,1593.6,1621.96,925520,INFY
2025-02-19,1611.41,1638.55,1611.07,1624.81,1217418,INFY
2025-02-20,1648.11,1656.72,1599.16,1627.94,1098345,INFY
2025-02-21,1646.76,1667.76,1617.11,1642.43,2706087,INFY
2025-02-24,1680.42,1687.03,1608.9,1647.96,535713,INFY
2025-02-25,1680.2,1710.04,1667.06,1688.55,1533968,INFY
2025-02-26,1656.55,1669.81,1642.69,1656.25,2854299,INFY
2025-02-27,1623.06,1631.37,1607.74,1619.56,4488672,INFY
2025-02-28,1610.03,1650.98,1605.68,1628.33,796396,INFY
2025-03-03,1588.55,1598.84,1574.67,1586.75,1909033,INFY
2025-03-04,1633.29,1640.43,1569.11,1604.77,1206175,INFY
2025-03-05,1618.15,1647.92,1607.47,1627.7,672246,INFY
2025-03-06,1649.25,1661.7,1612.34,1637.02,959393,INFY
2025-03-07,1667.2,1677.97,1613.06,1645.52,832814,INFY
2025-03-10,1688.1,1706.24,1655.6,1680.92,1055628,INFY
2025-03-11,1682.98,1706.8,1679.61,1693.21,1008662,INFY
2025-03-12,1714.72,1780.52,1713.11,1746.82,1322442,INFY
2025-03-13,1781.77,1814.6,1746.23,1780.42,2642917,INFY
2025-03-14,1802.59,1802.78,1751.0,1776.89,1050889,INFY
2025-03-17,1772.46,1791.22,1737.75,1764.48,1258582,INFY
2025-03-18,1750.6,1765.33,1739.05,1752.19,2160921,INFY
2025-03-19,1788.5,1792.95,1759.93,1776.44,494461,INFY
2025-03-20,1790.39,1818.67,1731.15,1774.91,1655589,INFY
2025-03-21,1761.54,1770.42,1748.35,1759.39,1564093,INFY
2025-03-24,1746.97,1785.68,1715.4,1750.54,1727924,INFY
2025-03-25,1760.38,1803.55,1728.28,1765.92,2454257,INFY
2025-03-26,1794.43,1808.2,1772.5,1790.35,2109460,INFY
2025-03-27,1748.25,1806.62,1733.3,1769.96,1916536,INFY
2025-03-28,1795.12,1799.61,1761.47,1780.54,1700812,INFY
2025-03-31,1696.95,1746.56,1669.33,1707.95,628152,INFY
2025-04-01,1728.02,1750.29,1694.15,1722.22,923272,INFY
2025-04-02,1734.21,1752.13,1691.69,1721.91,1065997,INFY
2025-04-03,1729.15,1768.26,1702.05,1735.15,744703,INFY
2025-04-04,1742.55,1779.82,1696.98,1738.4,907830,INFY
2025-04-07,1737.78,1763.45,1726.38,1744.91,1131675,INFY
2025-04-08,1726.09,1731.75,1681.0,1706.37,787976,INFY
2025-04-09,1698.61,1748.56,1690.18,1719.37,931607,INFY
2025-04-10,1708.34,1719.15,1700.21,1709.68,1162725,INFY
2025-04-11,1727.52,1763.53,1688.32,1725.92,1543302,INFY
2025-04-14,1716.63,1770.47,1700.95,1735.71,2682940,INFY
2025-04-15,1740.05,1762.91,1705.13,1734.02,1046960,INFY
2025-04-16,1666.9,1713.86,1648.55,1681.21,642197,INFY
2025-04-17,1730.21,1737.71,1718.82,1728.27,1545874,INFY
2025-04-18,1720.49,1773.37,1701.2,1737.29,1543718,INFY
2025-04-21,1796.12,1808.19,1735.71,1771.95,490562,INFY
2025-04-22,1676.27,1694.03,1676.07,1685.05,981832,INFY
2025-04-23,1652.35,1674.99,1650.97,1662.98,1070339,INFY
2025-04-24,1721.84,1738.05,1670.68,1704.36,1084980,INFY
2025-04-25,1721.22,1733.69,1708.84,1721.26,1164111,INFY
2025-04-28,1792.82,1797.35,1716.14,1756.74,718253,INFY
2025-04-29,1758.29,1784.54,1738.0,1761.27,1227136,INFY
2025-04-30,1777.56,1806.24,1758.66,1782.45,775933,INFY
2025-05-01,1782.44,1795.46,1719.44,1757.45,901154,INFY
2025-05-02,1784.4,1791.09,1761.38,1776.24,1006038,INFY
2025-05-05,1739.27,1809.23,1735.72,1772.48,796817,INFY
2025-05-06,1791.03,1810.71,1768.03,1789.37,4626615,INFY
2025-05-07,1747.59,1776.08,1730.71,1753.39,1179160,INFY
2025-05-08,1709.78,1739.99,1685.2,1712.6,1610165,INFY
2025-05-09,1665.85,1679.09,1662.31,1670.7,1178318,INFY
2025-05-12,1631.39,1683.76,1626.18,1654.97,1057796,INFY
2025-05-13,1634.24,1646.9,1587.22,1617.06,1085397,INFY
2025-05-14,1600.26,1603.8,1582.64,1593.22,402022,INFY
2025-05-15,1593.58,1594.75,1557.13,1575.94,2860080,INFY
2025-05-16,1534.81,1583.14,1508.62,1545.88,2303944,INFY
2025-05-19,1568.3,1575.74,1518.81,1547.28,1256519,INFY
2025-05-20,1568.04,1582.76,1548.8,1565.78,1147466,INFY
2025-05-21,1556.65,1571.0,1552.5,1561.75,1708884,INFY
2025-05-22,1575.54,1580.2,1503.3,1541.75,942053,INFY
2025-05-23,1567.84,1568.38,1515.79,1542.09,2034296,INFY
2025-05-26,1519.33,1554.21,1504.92,1529.57,711385,INFY
2025-05-27,1490.74,1502.29,1440.8,1471.55,211730,INFY
2025-05-28,1476.4,1521.8,1456.66,1489.23,513611,INFY
2025-05-29,1492.23,1522.39,1487.73,1505.06,1105992,INFY
2025-05-30,1522.42,1558.87,1487.64,1523.25,1536679,INFY
2025-06-02,1580.58,1628.54,1554.52,1591.53,1740450,INFY
2025-06-03,1580.43,1624.52,1561.46,1592.99,1474780,INFY
2025-06-04,1577.16,1619.51,1540.71,1580.11,1738804,INFY
2025-06-05,1563.81,1601.76,1540.49,1571.12,2663044,INFY
2025-06-06,1585.19,1601.84,1552.77,1577.3,1230858,INFY
2025-06-09,1582.47,1590.21,1558.16,1574.18,1372695,INFY
2025-06-10,1585.46,1625.41,1561.8,1593.6,839229,INFY
2025-06-11,1616.39,1618.89,1573.38,1596.14,1470371,INFY
2025-06-12,1602.19,1602.91,1573.67,1588.29,994899,INFY
2025-06-13,1599.31,1650.13,1587.82,1618.98,657546,INFY
2025-06-16,1655.5,1656.81,1603.43,1630.12,1061510,INFY
2025-06-17,1583.67,1603.36,1569.83,1586.59,1013755,INFY
2025-06-18,1589.62,1602.3,1578.15,1590.23,4097726,INFY
2025-06-19,1569.6,1580.59,1544.04,1562.32,707942,INFY
2025-06-20,1615.21,1627.77,1553.52,1590.65,950374,INFY
2025-06-23,1565.73,1590.45,1548.93,1569.69,1236338,INFY
2025-06-24,1580.86,1635.69,1578.74,1607.21,1819386,INFY
2025-06-25,1578.49,1628.34,1570.22,1599.28,829240,INFY
2025-06-26,1600.72,1609.31,1557.91,1583.61,627617,INFY
2025-06-27,1560.11,1615.32,1550.48,1582.9,4756663,INFY
2025-06-30,1627.39,1641.02,1618.64,1629.83,1704406,INFY
2025-07-01,1618.45,1641.44,1606.56,1624.0,1227055,INFY
2025-07-02,1619.3,1631.79,1606.76,1619.27,1892906,INFY
2025-07-03,1639.44,1655.7,1618.0,1636.85,1213578,INFY
2025-07-04,1628.94,1664.68,1617.94,1641.31,247297,INFY
2025-07-07,1659.93,1699.17,1637.07,1668.12,2176925,INFY
2025-07-08,1652.79,1728.91,1648.5,1688.71,1931941,INFY
2025-07-09,1675.81,1705.1,1673.48,1689.29,1068928,INFY
